,station,month,year,PM10,musim
46,Changping,1,2014,109.83150684931506,Musim Dingin
47,Changping,1,2015,114.94877384196184,Musim Dingin
48,Changping,1,2016,80.30446549391068,Musim Dingin
49,Changping,2,2014,144.54699537750386,Musim Dingin
50,Changping,2,2015,116.61619190404798,Musim Dingin
51,Changping,2,2016,57.09869375907112,Musim Dingin
52,Changping,3,2013,123.43010752688173,Musim Semi
53,Changping,3,2014,127.84946236559139,Musim Semi
54,Changping,3,2015,142.65404663923184,Musim Semi
55,Changping,3,2016,125.46657571623466,Musim Semi
56,Changping,4,2013,89.98052851182197,Musim Semi
57,Changping,4,2014,142.6702290076336,Musim Semi
58,Changping,4,2015,99.11360448807854,Musim Semi
59,Changping,4,2016,106.49577464788733,Musim Semi
60,Changping,5,2013,118.16801075268818,Musim Semi
61,Changping,5,2014,100.4407806191117,Musim Semi
62,Changping,5,2015,87.34993270524899,Musim Semi
63,Changping,5,2016,77.59147180192572,Musim Semi
64,Changping,6,2013,102.44506258692628,Musim Panas
65,Changping,6,2014,60.11577424023155,Musim Panas
66,Changping,6,2015,75.8782991202346,Musim Panas
67,Changping,6,2016,67.39160839160839,Musim Panas
68,Changping,7,2013,65.15114709851552,Musim Panas
69,Changping,7,2014,101.18975069252078,Musim Panas
70,Changping,7,2015,66.61776581426649,Musim Panas
71,Changping,7,2016,67.60217983651226,Musim Panas
72,Changping,8,2013,67.70405405405405,Musim Panas
73,Changping,8,2014,76.057200538358,Musim Panas
74,Changping,8,2015,56.88602442333786,Musim Panas
75,Changping,8,2016,52.34010840108401,Musim Panas
76,Changping,9,2013,82.97638888888889,Musim Gugur
77,Changping,9,2014,78.85425383542538,Musim Gugur
78,Changping,9,2015,51.08769448373409,Musim Gugur
79,Changping,9,2016,57.11301859799714,Musim Gugur
80,Changping,10,2013,100.03095558546434,Musim Gugur
81,Changping,10,2014,135.67441860465115,Musim Gugur
82,Changping,10,2015,65.62944162436548,Musim Gugur
83,Changping,10,2016,96.26280323450135,Musim Gugur
84,Changping,11,2013,81.325,Musim Gugur
85,Changping,11,2014,118.95932678821879,Musim Gugur
86,Changping,11,2015,99.65822784810126,Musim Gugur
87,Changping,11,2016,119.6875,Musim Gugur
88,Changping,12,2013,80.84005376344086,Musim Dingin
89,Changping,12,2014,88.14657534246575,Musim Dingin
90,Changping,12,2015,148.19808743169398,Musim Dingin
91,Changping,12,2016,125.90026954177898,Musim Dingin
92,Dingling,1,2014,98.29542302357837,Musim Dingin
93,Dingling,1,2015,93.6888130968622,Musim Dingin
94,Dingling,1,2016,72.67036011080333,Musim Dingin
95,Dingling,2,2014,140.39193548387098,Musim Dingin
96,Dingling,2,2015,104.46577380952381,Musim Dingin
97,Dingling,2,2016,50.743813682678315,Musim Dingin
98,Dingling,3,2013,110.31123139377537,Musim Semi
99,Dingling,3,2014,112.71736204576042,Musim Semi
100,Dingling,3,2015,124.60394557823129,Musim Semi
101,Dingling,3,2016,131.07366984993178,Musim Semi
102,Dingling,4,2013,80.14893617021276,Musim Semi
103,Dingling,4,2014,117.0158273381295,Musim Semi
104,Dingling,4,2015,92.13446327683616,Musim Semi
105,Dingling,4,2016,116.05367231638418,Musim Semi
106,Dingling,5,2013,114.09322033898304,Musim Semi
107,Dingling,5,2014,72.07016348773843,Musim Semi
108,Dingling,5,2015,84.69810040705563,Musim Semi
109,Dingling,5,2016,82.36666666666666,Musim Semi
110,Dingling,6,2013,87.28011204481793,Musim Panas
111,Dingling,6,2014,42.51749271137026,Musim Panas
112,Dingling,6,2015,68.28465829846583,Musim Panas
113,Dingling,6,2016,63.920612813370475,Musim Panas
114,Dingling,7,2013,56.859773371104815,Musim Panas
115,Dingling,7,2014,88.47239010989011,Musim Panas
116,Dingling,7,2015,63.92916666666667,Musim Panas
117,Dingling,7,2016,62.10612244897959,Musim Panas
118,Dingling,8,2013,51.49324324324324,Musim Panas
119,Dingling,8,2014,67.61986394557823,Musim Panas
120,Dingling,8,2015,57.029769959404604,Musim Panas
121,Dingling,8,2016,44.61413043478261,Musim Panas
122,Dingling,9,2013,62.31608391608392,Musim Gugur
123,Dingling,9,2014,70.97809388335703,Musim Gugur
124,Dingling,9,2015,48.274755927475596,Musim Gugur
125,Dingling,9,2016,50.25975975975976,Musim Gugur
126,Dingling,10,2013,88.78125,Musim Gugur
127,Dingling,10,2014,126.57220708446866,Musim Gugur
128,Dingling,10,2015,67.62125340599455,Musim Gugur
129,Dingling,10,2016,82.37849162011173,Musim Gugur
130,Dingling,11,2013,71.82753824756607,Musim Gugur
131,Dingling,11,2014,89.7976290097629,Musim Gugur
132,Dingling,11,2015,90.4031117397454,Musim Gugur
133,Dingling,11,2016,99.62395543175488,Musim Gugur
134,Dingling,12,2013,64.22611036339165,Musim Dingin
135,Dingling,12,2014,64.77428180574556,Musim Dingin
136,Dingling,12,2015,131.2590027700831,Musim Dingin
137,Dingling,12,2016,106.18181818181819,Musim Dingin
138,Dongsi,1,2014,112.56870748299319,Musim Dingin
139,Dongsi,1,2015,116.31591836734694,Musim Dingin
140,Dongsi,1,2016,88.06056527590847,Musim Dingin
141,Dongsi,2,2014,146.60458015267176,Musim Dingin
142,Dongsi,2,2015,129.11808669656205,Musim Dingin
143,Dongsi,2,2016,60.8121387283237,Musim Dingin
144,Dongsi,3,2013,131.02291105121293,Musim Semi
145,Dongsi,3,2014,130.30955585464335,Musim Semi
146,Dongsi,3,2015,167.8129781420765,Musim Semi
147,Dongsi,3,2016,144.74305555555554,Musim Semi
148,Dongsi,4,2013,98.57222222222222,Musim Semi
149,Dongsi,4,2014,147.49579831932772,Musim Semi
150,Dongsi,4,2015,122.67887323943663,Musim Semi
151,Dongsi,4,2016,117.70833333333333,Musim Semi
152,Dongsi,5,2013,131.98521505376345,Musim Semi
153,Dongsi,5,2014,123.91548913043479,Musim Semi
154,Dongsi,5,2015,92.60916442048517,Musim Semi
155,Dongsi,5,2016,84.74313186813187,Musim Semi
156,Dongsi,6,2013,115.66898470097358,Musim Panas
157,Dongsi,6,2014,77.05153203342618,Musim Panas
158,Dongsi,6,2015,81.8656338028169,Musim Panas
159,Dongsi,6,2016,74.16490166414523,Musim Panas
160,Dongsi,7,2013,80.78423236514523,Musim Panas
161,Dongsi,7,2014,99.21187584345479,Musim Panas
162,Dongsi,7,2015,82.6864064602961,Musim Panas
163,Dongsi,7,2016,80.14596273291926,Musim Panas
164,Dongsi,8,2013,86.35201149425288,Musim Panas
165,Dongsi,8,2014,81.89164420485174,Musim Panas
166,Dongsi,8,2015,68.8472972972973,Musim Panas
167,Dongsi,8,2016,58.036437246963565,Musim Panas
168,Dongsi,9,2013,100.2158774373259,Musim Gugur
169,Dongsi,9,2014,94.90945757997217,Musim Gugur
170,Dongsi,9,2015,70.73603351955308,Musim Gugur
171,Dongsi,9,2016,72.04789550072569,Musim Gugur
172,Dongsi,10,2013,108.95411605937922,Musim Gugur
173,Dongsi,10,2014,158.26549865229111,Musim Gugur
174,Dongsi,10,2015,105.15176151761517,Musim Gugur
175,Dongsi,10,2016,119.76237623762377,Musim Gugur
176,Dongsi,11,2013,99.5076495132128,Musim Gugur
177,Dongsi,11,2014,134.84783216783217,Musim Gugur
178,Dongsi,11,2015,133.08426966292134,Musim Gugur
179,Dongsi,11,2016,140.25277777777777,Musim Gugur
180,Dongsi,12,2013,94.55510752688173,Musim Dingin
181,Dongsi,12,2014,99.66606397774686,Musim Dingin
182,Dongsi,12,2015,172.71777476255087,Musim Dingin
183,Dongsi,12,2016,188.22341857335127,Musim Dingin
184,Guanyuan,1,2014,132.84081632653061,Musim Dingin
185,Guanyuan,1,2015,105.88510928961747,Musim Dingin
186,Guanyuan,1,2016,84.95827725437415,Musim Dingin
187,Guanyuan,2,2014,151.87116564417178,Musim Dingin
188,Guanyuan,2,2015,114.74626865671642,Musim Dingin
189,Guanyuan,2,2016,56.887608069164266,Musim Dingin
190,Guanyuan,3,2013,128.83962264150944,Musim Semi
191,Guanyuan,3,2014,133.31586021505376,Musim Semi
192,Guanyuan,3,2015,137.0268392370572,Musim Semi
193,Guanyuan,3,2016,143.84447476125513,Musim Semi
194,Guanyuan,4,2013,96.05292479108635,Musim Semi
195,Guanyuan,4,2014,137.56179775280899,Musim Semi
196,Guanyuan,4,2015,119.68926553672317,Musim Semi
197,Guanyuan,4,2016,128.83779971791256,Musim Semi
198,Guanyuan,5,2013,135.84878744650499,Musim Semi
199,Guanyuan,5,2014,124.30891891891892,Musim Semi
200,Guanyuan,5,2015,107.15155615696888,Musim Semi
201,Guanyuan,5,2016,99.91156462585035,Musim Semi
202,Guanyuan,6,2013,122.08484005563282,Musim Panas
203,Guanyuan,6,2014,76.37830319888734,Musim Panas
204,Guanyuan,6,2015,83.64565826330532,Musim Panas
205,Guanyuan,6,2016,86.16039051603906,Musim Panas
206,Guanyuan,7,2013,79.37106017191977,Musim Panas
207,Guanyuan,7,2014,110.61258741258742,Musim Panas
208,Guanyuan,7,2015,80.46341463414635,Musim Panas
209,Guanyuan,7,2016,86.78248587570621,Musim Panas
210,Guanyuan,8,2013,82.02960969044415,Musim Panas
211,Guanyuan,8,2014,87.77283783783784,Musim Panas
212,Guanyuan,8,2015,69.57571623465212,Musim Panas
213,Guanyuan,8,2016,65.51012145748987,Musim Panas
214,Guanyuan,9,2013,99.98472222222222,Musim Gugur
215,Guanyuan,9,2014,88.32685314685314,Musim Gugur
216,Guanyuan,9,2015,68.48039215686275,Musim Gugur
217,Guanyuan,9,2016,77.02295552367288,Musim Gugur
218,Guanyuan,10,2013,119.98115746971736,Musim Gugur
219,Guanyuan,10,2014,148.13143631436316,Musim Gugur
220,Guanyuan,10,2015,94.36559139784946,Musim Gugur
221,Guanyuan,10,2016,110.83423913043478,Musim Gugur
222,Guanyuan,11,2013,105.95827538247566,Musim Gugur
223,Guanyuan,11,2014,117.45881523272215,Musim Gugur
224,Guanyuan,11,2015,128.85372714486638,Musim Gugur
225,Guanyuan,11,2016,147.21974965229487,Musim Gugur
226,Guanyuan,12,2013,107.07795698924731,Musim Dingin
227,Guanyuan,12,2014,84.1628222523745,Musim Dingin
228,Guanyuan,12,2015,166.5101763907734,Musim Dingin
229,Guanyuan,12,2016,164.8021534320323,Musim Dingin
230,Gucheng,1,2014,124.48827586206896,Musim Dingin
231,Gucheng,1,2015,115.06159029649595,Musim Dingin
232,Gucheng,1,2016,96.44399460188934,Musim Dingin
233,Gucheng,2,2014,149.42331288343559,Musim Dingin
234,Gucheng,2,2015,124.09375,Musim Dingin
235,Gucheng,2,2016,60.03473227206946,Musim Dingin
236,Gucheng,3,2013,146.4533152909337,Musim Semi
237,Gucheng,3,2014,154.58815426997245,Musim Semi
238,Gucheng,3,2015,156.6226158038147,Musim Semi
239,Gucheng,3,2016,151.85129604365622,Musim Semi
240,Gucheng,4,2013,109.71489361702127,Musim Semi
241,Gucheng,4,2014,177.17448680351907,Musim Semi
242,Gucheng,4,2015,126.7090909090909,Musim Semi
243,Gucheng,4,2016,134.22772277227722,Musim Semi
244,Gucheng,5,2013,150.4119241192412,Musim Semi
245,Gucheng,5,2014,151.11135135135135,Musim Semi
246,Gucheng,5,2015,113.16010854816825,Musim Semi
247,Gucheng,5,2016,105.07523939808482,Musim Semi
248,Gucheng,6,2013,132.14804469273744,Musim Panas
249,Gucheng,6,2014,91.77361111111111,Musim Panas
250,Gucheng,6,2015,95.08298171589311,Musim Panas
251,Gucheng,6,2016,97.5,Musim Panas
252,Gucheng,7,2013,83.43554952510176,Musim Panas
253,Gucheng,7,2014,137.91632928475033,Musim Panas
254,Gucheng,7,2015,85.08870967741936,Musim Panas
255,Gucheng,7,2016,93.26045883940621,Musim Panas
256,Gucheng,8,2013,89.66981132075472,Musim Panas
257,Gucheng,8,2014,106.4318918918919,Musim Panas
258,Gucheng,8,2015,75.29579375848033,Musim Panas
259,Gucheng,8,2016,75.8582995951417,Musim Panas
260,Gucheng,9,2013,100.51043115438108,Musim Gugur
261,Gucheng,9,2014,114.81902777777778,Musim Gugur
262,Gucheng,9,2015,75.70963172804532,Musim Gugur
263,Gucheng,9,2016,91.93795093795094,Musim Gugur
264,Gucheng,10,2013,120.11559139784946,Musim Gugur
265,Gucheng,10,2014,163.6288798920378,Musim Gugur
266,Gucheng,10,2015,110.51886792452831,Musim Gugur
267,Gucheng,10,2016,111.86253369272237,Musim Gugur
268,Gucheng,11,2013,93.83588317107093,Musim Gugur
269,Gucheng,11,2014,139.10977653631286,Musim Gugur
270,Gucheng,11,2015,138.33136094674558,Musim Gugur
271,Gucheng,11,2016,143.56685236768803,Musim Gugur
272,Gucheng,12,2013,99.10887096774194,Musim Dingin
273,Gucheng,12,2014,98.57259158751697,Musim Dingin
274,Gucheng,12,2015,180.14149659863946,Musim Dingin
275,Gucheng,12,2016,164.35945945945946,Musim Dingin
276,Huairou,1,2014,103.89945652173913,Musim Dingin
277,Huairou,1,2015,95.19660326086957,Musim Dingin
278,Huairou,1,2016,66.67929634641408,Musim Dingin
279,Huairou,2,2014,143.71317829457365,Musim Dingin
280,Huairou,2,2015,103.41882530120483,Musim Dingin
281,Huairou,2,2016,49.75397973950796,Musim Dingin
282,Huairou,3,2013,117.99865047233469,Musim Semi
283,Huairou,3,2014,119.48655913978494,Musim Semi
284,Huairou,3,2015,133.5845417236662,Musim Semi
285,Huairou,3,2016,113.83651226158038,Musim Semi
286,Huairou,4,2013,94.83983286908078,Musim Semi
287,Huairou,4,2014,128.99860917941587,Musim Semi
288,Huairou,4,2015,100.04866760168302,Musim Semi
289,Huairou,4,2016,107.83236994219654,Musim Semi
290,Huairou,5,2013,135.21308411214955,Musim Semi
291,Huairou,5,2014,92.35640648011783,Musim Semi
292,Huairou,5,2015,87.44690026954177,Musim Semi
293,Huairou,5,2016,81.74795640326975,Musim Semi
294,Huairou,6,2013,115.15416666666667,Musim Panas
295,Huairou,6,2014,66.72841444270016,Musim Panas
296,Huairou,6,2015,69.47893258426966,Musim Panas
297,Huairou,6,2016,68.71269177126918,Musim Panas
298,Huairou,7,2013,86.08086253369272,Musim Panas
299,Huairou,7,2014,116.26895104895105,Musim Panas
300,Huairou,7,2015,63.5006729475101,Musim Panas
301,Huairou,7,2016,67.28767123287672,Musim Panas
302,Huairou,8,2013,75.05929919137466,Musim Panas
303,Huairou,8,2014,74.30466760961811,Musim Panas
304,Huairou,8,2015,58.00542005420054,Musim Panas
305,Huairou,8,2016,52.204884667571235,Musim Panas
306,Huairou,9,2013,89.17083333333333,Musim Gugur
307,Huairou,9,2014,76.08773181169758,Musim Gugur
308,Huairou,9,2015,52.53221288515406,Musim Gugur
309,Huairou,9,2016,55.825958702064895,Musim Gugur
310,Huairou,10,2013,97.40188172043011,Musim Gugur
311,Huairou,10,2014,116.20680272108844,Musim Gugur
312,Huairou,10,2015,78.65989159891599,Musim Gugur
313,Huairou,10,2016,92.94609164420486,Musim Gugur
314,Huairou,11,2013,75.42420027816412,Musim Gugur
315,Huairou,11,2014,94.4481223922114,Musim Gugur
316,Huairou,11,2015,100.42008486562942,Musim Gugur
317,Huairou,11,2016,117.09457579972184,Musim Gugur
318,Huairou,12,2013,71.82748948106592,Musim Dingin
319,Huairou,12,2014,68.06121883656509,Musim Dingin
320,Huairou,12,2015,131.57937584803256,Musim Dingin
321,Huairou,12,2016,110.75537634408602,Musim Dingin
322,Nongzhanguan,1,2014,136.10626702997274,Musim Dingin
323,Nongzhanguan,1,2015,131.08783783783784,Musim Dingin
324,Nongzhanguan,1,2016,79.88978494623656,Musim Dingin
325,Nongzhanguan,2,2014,161.1039755351682,Musim Dingin
326,Nongzhanguan,2,2015,124.58569299552906,Musim Dingin
327,Nongzhanguan,2,2016,53.48847262247838,Musim Dingin
328,Nongzhanguan,3,2013,127.1292059219381,Musim Semi
329,Nongzhanguan,3,2014,139.53360215053763,Musim Semi
330,Nongzhanguan,3,2015,138.94256198347108,Musim Semi
331,Nongzhanguan,3,2016,131.64441416893732,Musim Semi
332,Nongzhanguan,4,2013,96.97635605006954,Musim Semi
333,Nongzhanguan,4,2014,140.77492877492878,Musim Semi
334,Nongzhanguan,4,2015,114.0313725490196,Musim Semi
335,Nongzhanguan,4,2016,107.65205091937766,Musim Semi
336,Nongzhanguan,5,2013,129.114401076716,Musim Semi
337,Nongzhanguan,5,2014,129.71230982019364,Musim Semi
338,Nongzhanguan,5,2015,98.5426251691475,Musim Semi
339,Nongzhanguan,5,2016,84.52049180327869,Musim Semi
340,Nongzhanguan,6,2013,107.64944134078212,Musim Panas
341,Nongzhanguan,6,2014,86.35434173669468,Musim Panas
342,Nongzhanguan,6,2015,82.60406162464986,Musim Panas
343,Nongzhanguan,6,2016,76.57638888888889,Musim Panas
344,Nongzhanguan,7,2013,71.04306864064603,Musim Panas
345,Nongzhanguan,7,2014,110.41408839779005,Musim Panas
346,Nongzhanguan,7,2015,75.34724091520862,Musim Panas
347,Nongzhanguan,7,2016,75.82432432432432,Musim Panas
348,Nongzhanguan,8,2013,74.79757085020243,Musim Panas
349,Nongzhanguan,8,2014,87.8227456258412,Musim Panas
350,Nongzhanguan,8,2015,64.36486486486487,Musim Panas
351,Nongzhanguan,8,2016,59.39784946236559,Musim Panas
352,Nongzhanguan,9,2013,99.36072423398329,Musim Gugur
353,Nongzhanguan,9,2014,95.2063649222065,Musim Gugur
354,Nongzhanguan,9,2015,63.38493723849373,Musim Gugur
355,Nongzhanguan,9,2016,73.97134670487107,Musim Gugur
356,Nongzhanguan,10,2013,111.23149394347242,Musim Gugur
357,Nongzhanguan,10,2014,167.25552486187846,Musim Gugur
358,Nongzhanguan,10,2015,100.43813682678312,Musim Gugur
359,Nongzhanguan,10,2016,107.20270270270271,Musim Gugur
360,Nongzhanguan,11,2013,105.56467315716273,Musim Gugur
361,Nongzhanguan,11,2014,140.41743515850143,Musim Gugur
362,Nongzhanguan,11,2015,132.46464646464648,Musim Gugur
363,Nongzhanguan,11,2016,145.14305555555555,Musim Gugur
364,Nongzhanguan,12,2013,115.21102150537635,Musim Dingin
365,Nongzhanguan,12,2014,114.19724137931034,Musim Dingin
366,Nongzhanguan,12,2015,165.17551020408163,Musim Dingin
367,Nongzhanguan,12,2016,167.0595567867036,Musim Dingin
368,Shunyi,1,2014,112.78796169630643,Musim Dingin
369,Shunyi,1,2015,109.524931880109,Musim Dingin
370,Shunyi,1,2016,77.28648648648648,Musim Dingin
371,Shunyi,2,2014,149.26947040498442,Musim Dingin
372,Shunyi,2,2015,115.43263473053892,Musim Dingin
373,Shunyi,2,2016,53.31785195936139,Musim Dingin
374,Shunyi,3,2013,120.07766990291262,Musim Semi
375,Shunyi,3,2014,132.4758064516129,Musim Semi
376,Shunyi,3,2015,139.68060109289618,Musim Semi
377,Shunyi,3,2016,121.47790055248619,Musim Semi
378,Shunyi,4,2013,83.33333333333333,Musim Semi
379,Shunyi,4,2014,141.0528511821975,Musim Semi
380,Shunyi,4,2015,111.07352112676055,Musim Semi
381,Shunyi,4,2016,110.21511627906976,Musim Semi
382,Shunyi,5,2013,125.257065948856,Musim Semi
383,Shunyi,5,2014,109.94567567567567,Musim Semi
384,Shunyi,5,2015,84.04380053908356,Musim Semi
385,Shunyi,5,2016,72.45310245310246,Musim Semi
386,Shunyi,6,2013,113.06954102920723,Musim Panas
387,Shunyi,6,2014,75.09677419354838,Musim Panas
388,Shunyi,6,2015,78.64417952314166,Musim Panas
389,Shunyi,6,2016,65.09154929577464,Musim Panas
390,Shunyi,7,2013,70.18539325842697,Musim Panas
391,Shunyi,7,2014,113.38135135135134,Musim Panas
392,Shunyi,7,2015,71.90958164642375,Musim Panas
393,Shunyi,7,2016,71.03616133518776,Musim Panas
394,Shunyi,8,2013,70.00268817204301,Musim Panas
395,Shunyi,8,2014,83.20445945945946,Musim Panas
396,Shunyi,8,2015,61.1008174386921,Musim Panas
397,Shunyi,8,2016,58.41486486486487,Musim Panas
398,Shunyi,9,2013,92.05,Musim Gugur
399,Shunyi,9,2014,83.65642458100558,Musim Gugur
400,Shunyi,9,2015,60.79020979020979,Musim Gugur
401,Shunyi,9,2016,62.6609907120743,Musim Gugur
402,Shunyi,10,2013,108.16419919246299,Musim Gugur
403,Shunyi,10,2014,127.87533875338754,Musim Gugur
404,Shunyi,10,2015,90.04594594594595,Musim Gugur
405,Shunyi,10,2016,99.94475920679886,Musim Gugur
406,Shunyi,11,2013,88.07510431154381,Musim Gugur
407,Shunyi,11,2014,120.59803646563815,Musim Gugur
408,Shunyi,11,2015,119.24039829302987,Musim Gugur
409,Shunyi,11,2016,123.05833333333334,Musim Gugur
410,Shunyi,12,2013,75.67071524966262,Musim Dingin
411,Shunyi,12,2014,85.39834024896265,Musim Dingin
412,Shunyi,12,2015,157.01923076923077,Musim Dingin
413,Shunyi,12,2016,130.65363881401618,Musim Dingin
414,Tiantan,1,2014,124.4951724137931,Musim Dingin
415,Tiantan,1,2015,115.50473612990528,Musim Dingin
416,Tiantan,1,2016,87.14439946018894,Musim Dingin
417,Tiantan,2,2014,144.51023622047245,Musim Dingin
418,Tiantan,2,2015,121.30849478390462,Musim Dingin
419,Tiantan,2,2016,61.075036075036074,Musim Dingin
420,Tiantan,3,2013,122.42105263157895,Musim Semi
421,Tiantan,3,2014,127.00403768506057,Musim Semi
422,Tiantan,3,2015,135.7392612859097,Musim Semi
423,Tiantan,3,2016,124.60054719562244,Musim Semi
424,Tiantan,4,2013,90.43096234309624,Musim Semi
425,Tiantan,4,2014,126.46984572230014,Musim Semi
426,Tiantan,4,2015,109.74620786516854,Musim Semi
427,Tiantan,4,2016,111.84957020057307,Musim Semi
428,Tiantan,5,2013,138.29245283018867,Musim Semi
429,Tiantan,5,2014,114.66152694610777,Musim Semi
430,Tiantan,5,2015,93.97027027027028,Musim Semi
431,Tiantan,5,2016,85.84489795918367,Musim Semi
432,Tiantan,6,2013,134.04463040446305,Musim Panas
433,Tiantan,6,2014,82.91023842917251,Musim Panas
434,Tiantan,6,2015,79.61186440677966,Musim Panas
435,Tiantan,6,2016,81.58931082981717,Musim Panas
436,Tiantan,7,2013,84.125,Musim Panas
437,Tiantan,7,2014,115.8660351826793,Musim Panas
438,Tiantan,7,2015,75.81978319783198,Musim Panas
439,Tiantan,7,2016,76.26486486486486,Musim Panas
440,Tiantan,8,2013,82.36608344549126,Musim Panas
441,Tiantan,8,2014,82.89122562674095,Musim Panas
442,Tiantan,8,2015,61.66153846153846,Musim Panas
443,Tiantan,8,2016,58.87364130434783,Musim Panas
444,Tiantan,9,2013,106.24475524475524,Musim Gugur
445,Tiantan,9,2014,84.93146853146852,Musim Gugur
446,Tiantan,9,2015,61.16197183098591,Musim Gugur
447,Tiantan,9,2016,68.93381294964028,Musim Gugur
448,Tiantan,10,2013,118.75940860215054,Musim Gugur
449,Tiantan,10,2014,139.19635343618512,Musim Gugur
450,Tiantan,10,2015,88.94086021505376,Musim Gugur
451,Tiantan,10,2016,96.67388362652233,Musim Gugur
452,Tiantan,11,2013,103.55354659248957,Musim Gugur
453,Tiantan,11,2014,125.26100981767182,Musim Gugur
454,Tiantan,11,2015,127.25884016973126,Musim Gugur
455,Tiantan,11,2016,130.73296244784422,Musim Gugur
456,Tiantan,12,2013,102.49462365591398,Musim Dingin
457,Tiantan,12,2014,108.46435483870967,Musim Dingin
458,Tiantan,12,2015,165.05298913043478,Musim Dingin
459,Tiantan,12,2016,178.8989218328841,Musim Dingin
460,Wanliu,1,2014,141.8768606224628,Musim Dingin
461,Wanliu,1,2015,126.09677419354838,Musim Dingin
462,Wanliu,1,2016,81.80592991913747,Musim Dingin
463,Wanliu,2,2014,161.37672281776418,Musim Dingin
464,Wanliu,2,2015,127.23318385650224,Musim Dingin
465,Wanliu,2,2016,55.35166425470333,Musim Dingin
466,Wanliu,3,2013,145.58716216216217,Musim Semi
467,Wanliu,3,2014,150.72177419354838,Musim Semi
468,Wanliu,3,2015,152.66027210884354,Musim Semi
469,Wanliu,3,2016,138.33743169398906,Musim Semi
470,Wanliu,4,2013,108.4275766016713,Musim Semi
471,Wanliu,4,2014,157.9138888888889,Musim Semi
472,Wanliu,4,2015,124.62390670553935,Musim Semi
473,Wanliu,4,2016,103.8490832157969,Musim Semi
474,Wanliu,5,2013,130.07142857142858,Musim Semi
475,Wanliu,5,2014,132.59582210242587,Musim Semi
476,Wanliu,5,2015,94.73180592991913,Musim Semi
477,Wanliu,5,2016,71.38617886178862,Musim Semi
478,Wanliu,6,2013,114.31328671328671,Musim Panas
479,Wanliu,6,2014,86.48122392211404,Musim Panas
480,Wanliu,6,2015,83.13467966573816,Musim Panas
481,Wanliu,6,2016,75.4002808988764,Musim Panas
482,Wanliu,7,2013,80.24291497975709,Musim Panas
483,Wanliu,7,2014,122.00672947510094,Musim Panas
484,Wanliu,7,2015,79.21908602150538,Musim Panas
485,Wanliu,7,2016,79.75913396481732,Musim Panas
486,Wanliu,8,2013,85.69044414535666,Musim Panas
